calendar_commit_frequency,avg_commit_size_norm,burst_concentration_ratio,commit_coefficient_variation,generic_message_ratio,pr_rejection_rate,language_diversity_norm,skill_mismatch,audio_resume_mismatch,rule_score,label
0.512214,0.258020,0.167000,0.076800,0.600000,0.173000,0.333333,0.382358,0.071252,0.000000,0
0.291781,0.540870,0.225000,0.131800,0.350000,0.000000,0.333333,0.300432,0.196688,0.000000,1
0.362121,0.328882,0.195000,0.120200,0.200000,0.310000,0.333333,0.185077,0.303630,0.000000,0
0.310638,0.245679,0.208000,0.126600,0.450000,0.283000,0.333333,0.166620,0.108462,0.000000,0
0.026020,0.032969,0.144000,1.000000,0.100000,0.390000,1.000000,0.158240,0.282794,0.000000,0
0.302439,0.141588,0.927000,1.000000,0.150000,0.036000,0.666667,0.179987,0.079335,0.293000,0
0.010444,0.427185,0.277000,1.000000,0.150000,0.298000,1.000000,0.465954,0.430926,0.000000,0
0.117647,0.123512,0.480000,1.000000,0.150000,0.176000,1.000000,0.289833,0.339846,0.000000,0
0.144068,0.086735,0.894000,1.000000,0.250000,0.186000,0.333333,0.542046,0.309262,0.268000,0
0.023012,0.246920,0.180000,1.000000,0.100000,0.367000,0.666667,0.133691,0.149819,0.000000,0
0.118000,0.625205,0.831000,1.000000,0.600000,0.000000,0.500000,0.676389,0.455846,0.219000,1
0.364045,0.376307,0.194000,0.098200,0.350000,0.000000,0.500000,0.369850,0.637130,0.000000,1
0.074330,0.337281,0.119000,0.943800,0.450000,0.051000,0.333333,0.230128,0.333631,0.000000,0
0.231776,0.778691,0.597000,1.000000,0.400000,0.000000,0.333333,0.674513,0.170736,0.037000,1
0.244079,0.066606,0.216000,0.137400,0.450000,0.302000,0.333333,0.431293,0.244523,0.000000,0
0.035321,0.287248,0.186000,1.000000,0.250000,0.413000,0.333333,0.185809,0.177292,0.000000,0
0.234545,0.288185,0.202000,0.131400,0.250000,0.033000,0.500000,0.158712,0.333482,0.000000,0
0.088889,0.713194,0.516000,0.743000,0.350000,0.279000,0.166667,0.176546,0.540809,0.000000,1
0.151923,0.087844,0.253000,0.187000,0.450000,0.177000,1.000000,0.209882,0.069176,0.000000,0
0.256000,0.289071,0.227000,0.154800,0.150000,0.129000,0.333333,0.390785,0.452184,0.000000,0
0.049306,0.258625,0.192000,1.000000,0.400000,0.223000,0.333333,0.042803,0.525761,0.000000,0
0.006863,0.380516,0.333000,1.000000,0.100000,0.225000,0.666667,0.101556,0.273246,0.000000,0
0.360204,0.157530,0.184000,0.105800,0.250000,0.115000,1.000000,0.229912,0.190503,0.000000,0
0.040224,0.151538,0.152000,1.000000,0.200000,0.182000,1.000000,0.169270,0.326220,0.000000,0
0.005455,1.000000,0.667000,1.000000,0.750000,0.387000,0.333333,0.370495,0.571719,0.500000,1
0.036345,0.346025,0.133000,1.000000,0.350000,0.247000,0.833333,0.347869,0.212417,0.000000,0
0.067933,0.174633,0.175000,0.985200,0.250000,0.251000,0.500000,0.125022,0.078552,0.000000,0
0.012558,0.062787,0.165000,1.000000,0.100000,0.586000,0.666667,0.287907,0.166836,0.150000,0
0.008131,0.229278,0.228000,1.000000,0.350000,0.326000,0.333333,0.039474,0.282595,0.000000,0
0.157265,0.068474,0.212000,0.156200,0.400000,0.243000,0.833333,0.138558,0.148573,0.000000,0
0.137143,0.121800,0.896000,1.000000,0.150000,0.261000,0.833333,0.441852,0.270360,0.269000,0
0.017841,0.319834,0.204000,1.000000,0.250000,0.014000,0.500000,0.023349,0.383055,0.000000,0
0.163918,0.266345,0.214000,0.157800,0.450000,0.398000,0.500000,0.198570,0.175753,0.000000,0
0.047884,0.412373,0.182000,0.957000,0.100000,0.358000,1.000000,0.180070,0.386752,0.000000,0
0.179412,0.140835,0.197000,0.164000,0.050000,0.419000,0.333333,0.088168,0.353210,0.000000,0
0.015431,0.208326,0.167000,1.000000,0.150000,0.200000,0.833333,0.053780,0.147345,0.000000,0
0.116901,0.272037,0.153000,0.675000,0.250000,0.018000,0.833333,0.156497,0.194023,0.000000,0
0.337879,0.301536,0.202000,0.152400,0.150000,0.201000,1.000000,0.143049,0.094813,0.000000,0
0.542045,0.123562,0.187000,0.088200,0.450000,0.190000,0.500000,0.434730,0.233537,0.000000,0
0.030543,0.036254,0.236000,1.000000,0.050000,0.181000,0.666667,0.415874,0.372556,0.000000,0
0.005556,1.000000,0.667000,1.000000,0.250000,0.000000,0.333333,0.301608,0.605961,0.300000,1
0.030700,0.267687,0.233000,1.000000,0.200000,0.221000,0.333333,0.242335,0.018343,0.000000,0
0.338806,0.172380,0.196000,0.108600,0.400000,0.362000,0.833333,0.121996,0.582854,0.000000,0
0.187097,0.520402,1.000000,1.000000,0.650000,0.505000,0.500000,0.280888,0.563774,0.700000,1
0.377273,0.010000,0.193000,0.120000,0.350000,0.260000,0.333333,0.259093,0.283325,0.000000,0
0.188462,0.397601,0.208000,0.148200,0.600000,0.000000,0.833333,0.128139,0.259766,0.000000,0
0.151079,0.297414,0.205000,0.170600,0.150000,0.192000,1.000000,0.424155,0.274606,0.000000,0
0.193333,0.417220,0.591000,1.000000,0.150000,0.523000,1.000000,0.248567,0.164550,0.182000,0
0.698276,0.438149,0.365000,0.859600,0.650000,0.306000,0.500000,0.834902,0.215106,0.200000,1
0.026291,0.293216,0.208000,1.000000,0.050000,0.226000,0.666667,0.376389,0.249342,0.000000,0
0.025735,0.079305,0.129000,0.981600,0.600000,0.232000,0.833333,0.329916,0.021541,0.000000,0
0.037500,1.000000,0.333000,0.561800,0.550000,0.000000,0.166667,0.237050,0.536698,0.300000,1
0.224444,0.549210,0.723000,0.898800,0.350000,0.552000,0.500000,0.536653,0.531762,0.285000,1
0.201515,0.172459,0.195000,0.156000,0.400000,0.129000,1.000000,0.186065,0.112926,0.000000,0
0.403571,0.118187,0.181000,0.120000,0.550000,0.345000,0.500000,0.115942,0.225311,0.000000,0
0.473469,0.518306,0.213000,0.106200,0.250000,0.032000,1.000000,0.189454,0.176967,0.000000,0
0.553226,0.347116,0.176000,0.084600,0.450000,0.102000,0.666667,0.037226,0.618952,0.000000,0
0.030796,0.219951,0.126000,1.000000,0.000000,0.347000,0.833333,0.147797,0.068300,0.000000,0
0.007563,1.000000,0.444000,1.000000,0.650000,0.000000,0.500000,0.663844,0.664158,0.500000,1
0.289109,0.426652,0.192000,0.127200,0.500000,0.186000,0.500000,0.052490,0.272508,0.000000,0
0.004343,0.102032,0.333000,1.000000,0.200000,0.111000,1.000000,0.128356,0.079125,0.000000,0
0.025806,1.000000,0.500000,0.761600,0.350000,0.000000,0.333333,0.440783,0.399949,0.300000,1
0.296053,0.326531,0.178000,0.137000,0.400000,0.352000,0.833333,0.070032,0.374543,0.000000,0
0.215000,0.161525,0.544000,1.000000,0.550000,0.629000,0.166667,0.269781,0.672563,0.150000,1
0.047989,0.276487,0.192000,0.898800,0.100000,0.163000,0.333333,0.114069,0.422999,0.000000,0
0.232394,0.336284,0.200000,0.119000,0.400000,0.294000,0.500000,0.021652,0.249790,0.000000,0
0.182927,0.110278,0.213000,0.149600,0.150000,0.308000,0.833333,0.418742,0.276683,0.000000,0
0.233708,0.299208,0.202000,0.119000,0.100000,0.025000,0.833333,0.426169,0.081882,0.000000,0
0.407692,0.238864,0.193000,0.109600,0.150000,0.276000,0.666667,0.219020,0.265804,0.000000,0
0.507042,0.237175,0.181000,0.095000,0.050000,0.402000,0.666667,0.394557,0.338669,0.000000,0
0.016667,1.000000,0.600000,0.764200,0.800000,0.574000,0.333333,0.544684,0.696414,0.650000,1
0.098936,0.680753,1.000000,1.000000,0.800000,0.000000,0.333333,0.696996,0.370904,0.550000,1
0.239560,0.010000,0.216000,0.145400,0.200000,0.363000,0.833333,0.409049,0.059112,0.000000,0
0.203356,0.187053,0.205000,0.148800,0.050000,0.369000,0.500000,0.357112,0.296557,0.000000,0
0.200000,0.213198,0.265000,0.194800,0.250000,0.381000,0.333333,0.188123,0.125367,0.000000,0
0.400000,0.033833,0.181000,0.093400,0.400000,0.048000,0.666667,0.082590,0.033296,0.000000,0
0.561290,0.361079,0.188000,0.097600,0.100000,0.127000,1.000000,0.489353,0.190342,0.000000,0
0.015871,0.267448,0.203000,1.000000,0.200000,0.063000,0.500000,0.097745,0.443572,0.000000,0
0.022727,1.000000,0.400000,0.747200,0.650000,0.420000,0.333333,0.620221,0.540092,0.500000,1
0.018966,1.000000,0.364000,0.718400,0.600000,0.000000,0.166667,0.690508,0.328726,0.300000,1
0.317647,0.219236,0.954000,1.000000,0.300000,0.377000,0.666667,0.253733,0.115792,0.314000,0
0.009777,0.013562,0.143000,1.000000,0.050000,0.117000,0.833333,0.523302,0.084482,0.000000,0
0.009128,0.156075,0.244000,1.000000,0.350000,0.122000,1.000000,0.141616,0.452896,0.000000,0
0.302326,0.398229,0.192000,0.174400,0.300000,0.000000,0.500000,0.165885,0.081944,0.000000,0
0.035484,0.124526,0.212000,1.000000,0.150000,0.163000,0.333333,0.420222,0.289241,0.000000,0
0.166234,0.081860,0.203000,0.128000,0.450000,0.100000,0.333333,0.356442,0.159895,0.000000,0
0.005171,0.153646,0.260000,1.000000,0.050000,0.068000,1.000000,0.195420,0.160170,0.000000,0
0.358940,0.312487,0.199000,0.120600,0.150000,0.139000,0.666667,0.299131,0.113446,0.000000,0
0.303731,0.137456,0.199000,0.123000,0.200000,0.329000,1.000000,0.215910,0.472002,0.000000,0
0.381890,0.361871,0.184000,0.097600,0.200000,0.335000,0.500000,0.277203,0.267213,0.000000,0
0.392793,0.388646,0.204000,0.099200,0.600000,0.491000,0.500000,0.524114,0.608691,0.000000,1
0.518421,0.264654,0.178000,0.104600,0.250000,0.000000,0.833333,0.103047,0.147497,0.000000,0
