iteration,train_loss,val_loss
1,0.640874,0.325113
2,0.535155,0.277487
3,0.460392,0.242716
4,0.402577,0.217113
5,0.352303,0.193846
6,0.313784,0.174199
7,0.281344,0.158763
8,0.245332,0.141607
9,0.217901,0.129141
10,0.192706,0.118065
11,0.171742,0.108961
12,0.155102,0.100475
13,0.138970,0.092773
14,0.125602,0.086503
15,0.110110,0.081170
16,0.100445,0.076227
17,0.087459,0.071833
18,0.077921,0.069102
19,0.070300,0.065818
20,0.063912,0.063373
21,0.057977,0.061895
22,0.052737,0.059935
23,0.047620,0.058105
24,0.042788,0.056408
25,0.039234,0.055349
26,0.035249,0.054076
27,0.031873,0.052729
28,0.029050,0.052456
29,0.026078,0.051168
30,0.023524,0.050912
31,0.021532,0.050870
32,0.019406,0.051292
33,0.018008,0.050051
34,0.016268,0.049951
35,0.014753,0.049108
36,0.013581,0.047844
37,0.012272,0.047712
38,0.011168,0.046636
39,0.010081,0.046404
40,0.009269,0.046202
41,0.008397,0.046675
42,0.007795,0.046489
43,0.007088,0.046945
44,0.006433,0.046963
45,0.005864,0.047516
46,0.005427,0.047637
47,0.004932,0.047737
48,0.004525,0.047721
49,0.004133,0.048161
50,0.003739,0.048469
51,0.003518,0.048365
52,0.003169,0.049035
53,0.002894,0.048550
54,0.002648,0.049360
55,0.002408,0.049913
56,0.002261,0.050177
57,0.002086,0.049584
58,0.001920,0.050195
59,0.001782,0.049476
60,0.001614,0.049937
61,0.001491,0.050782
62,0.001402,0.051642
63,0.001298,0.050509
64,0.001186,0.051581
65,0.001095,0.050614
66,0.001028,0.051007
67,0.000937,0.050965
68,0.000862,0.050309
69,0.000804,0.050845
70,0.000750,0.050989
71,0.000696,0.050536
72,0.000643,0.050553
73,0.000598,0.050351
74,0.000564,0.050706
75,0.000523,0.050220
76,0.000486,0.050277
77,0.000446,0.050464
78,0.000420,0.050412
79,0.000394,0.050850
80,0.000374,0.051130
81,0.000346,0.051081
82,0.000318,0.051113
83,0.000302,0.051271
84,0.000277,0.051347
85,0.000257,0.051731
86,0.000235,0.051808
87,0.000222,0.051822
88,0.000208,0.052312
89,0.000193,0.051677
90,0.000183,0.051920
91,0.000172,0.052398
92,0.000159,0.052792
93,0.000151,0.052677
94,0.000140,0.052101
95,0.000130,0.052011
96,0.000119,0.052603
97,0.000108,0.053378
98,0.000101,0.053298
99,0.000092,0.053916
100,0.000085,0.054354
101,0.000079,0.054795
102,0.000074,0.055543
103,0.000068,0.055218
104,0.000063,0.055120
105,0.000060,0.054984
106,0.000056,0.055700
107,0.000053,0.055791
108,0.000050,0.055940
109,0.000046,0.055349
110,0.000044,0.055898
111,0.000041,0.056101
112,0.000038,0.056785
113,0.000036,0.057163
114,0.000034,0.057097
115,0.000032,0.057313
116,0.000030,0.057253
117,0.000028,0.057871
118,0.000026,0.058228
119,0.000024,0.057826
120,0.000022,0.057976
121,0.000021,0.058209
122,0.000020,0.058604
123,0.000018,0.058947
124,0.000017,0.059448
125,0.000016,0.059551
126,0.000015,0.059979
127,0.000014,0.059630
128,0.000013,0.058974
129,0.000012,0.058635
130,0.000012,0.058561
131,0.000011,0.058611
132,0.000010,0.058171
133,0.000009,0.059093
134,0.000009,0.059577
135,0.000008,0.060047
136,0.000008,0.059589
137,0.000007,0.060112
138,0.000007,0.060753
139,0.000006,0.061629
140,0.000006,0.061613
141,0.000005,0.061628
142,0.000005,0.061938
143,0.000005,0.062162
144,0.000005,0.062403
145,0.000004,0.062061
146,0.000004,0.062089
147,0.000004,0.062580
148,0.000004,0.062887
149,0.000003,0.063144
150,0.000003,0.063231
151,0.000003,0.063282
152,0.000003,0.063674
153,0.000003,0.063767
154,0.000002,0.064257
155,0.000002,0.064396
156,0.000002,0.065262
157,0.000002,0.065749
158,0.000002,0.065663
159,0.000002,0.066056
160,0.000002,0.066730
161,0.000002,0.067146
162,0.000001,0.067158
163,0.000001,0.067406
164,0.000001,0.067469
165,0.000001,0.067740
166,0.000001,0.068159
167,0.000001,0.068056
168,0.000001,0.067606
169,0.000001,0.067783
170,0.000001,0.067913
171,0.000001,0.067901
172,0.000001,0.068624
173,0.000001,0.068880
174,0.000001,0.069243
175,0.000001,0.069716
176,0.000001,0.070267
177,0.000001,0.069940
178,0.000001,0.069828
179,0.000001,0.069711
180,0.000000,0.070097
181,0.000000,0.070319
182,0.000000,0.071166
183,0.000000,0.071469
184,0.000000,0.071823
185,0.000000,0.072091
186,0.000000,0.072531
187,0.000000,0.073272
188,0.000000,0.073664
189,0.000000,0.073586
190,0.000000,0.073599
191,0.000000,0.074093
192,0.000000,0.074356
193,0.000000,0.074799
194,0.000000,0.074815
195,0.000000,0.075245
196,0.000000,0.075277
197,0.000000,0.074818
198,0.000000,0.074997
199,0.000000,0.075268
200,0.000000,0.075267
