threshold,precision,recall
0.010103,0.150000,1.000000
0.011388,0.150167,1.000000
0.013112,0.150334,1.000000
0.014040,0.150502,1.000000
0.015083,0.150670,1.000000
0.018510,0.150838,1.000000
0.021176,0.151007,1.000000
0.022200,0.151176,1.000000
0.022436,0.151345,1.000000
0.026144,0.151515,1.000000
0.026932,0.151685,1.000000
0.027803,0.151856,1.000000
0.027806,0.152027,1.000000
0.027968,0.152198,1.000000
0.029250,0.152370,1.000000
0.029719,0.152542,1.000000
0.030322,0.152715,1.000000
0.030759,0.152888,1.000000
0.031103,0.153061,1.000000
0.031998,0.153235,1.000000
0.032372,0.153409,1.000000
0.033596,0.153584,1.000000
0.033607,0.153759,1.000000
0.033774,0.153934,1.000000
0.034442,0.154110,1.000000
0.034710,0.154286,1.000000
0.035358,0.154462,1.000000
0.035715,0.154639,1.000000
0.035866,0.154817,1.000000
0.036390,0.154994,1.000000
0.036924,0.155172,1.000000
0.038140,0.155351,1.000000
0.038502,0.155530,1.000000
0.038597,0.155709,1.000000
0.038766,0.155889,1.000000
0.038794,0.156069,1.000000
0.040238,0.156250,1.000000
0.040249,0.156431,1.000000
0.040720,0.156613,1.000000
0.041038,0.156794,1.000000
0.041817,0.156977,1.000000
0.042995,0.157159,1.000000
0.044208,0.157343,1.000000
0.045149,0.157526,1.000000
0.045439,0.157710,1.000000
0.046485,0.157895,1.000000
0.046997,0.158080,1.000000
0.047273,0.158265,1.000000
0.048704,0.158451,1.000000
0.048809,0.158637,1.000000
0.049025,0.158824,1.000000
0.049122,0.159011,1.000000
0.049363,0.159198,1.000000
0.049550,0.159386,1.000000
0.049607,0.159574,1.000000
0.049614,0.159763,1.000000
0.050323,0.159953,1.000000
0.050622,0.160142,1.000000
0.050784,0.160333,1.000000
0.051156,0.160523,1.000000
0.051443,0.160714,1.000000
0.051623,0.160906,1.000000
0.052128,0.161098,1.000000
0.052253,0.161290,1.000000
0.052272,0.161483,1.000000
0.052307,0.161677,1.000000
0.052417,0.161871,1.000000
0.053418,0.162065,1.000000
0.054116,0.162260,1.000000
0.054401,0.162455,1.000000
0.054532,0.162651,1.000000
0.055176,0.162847,1.000000
0.055294,0.163043,1.000000
0.055625,0.163241,1.000000
0.056096,0.163438,1.000000
0.056436,0.163636,1.000000
0.056726,0.163835,1.000000
0.056806,0.164034,1.000000
0.057055,0.164234,1.000000
0.057296,0.164434,1.000000
0.057593,0.164634,1.000000
0.058156,0.164835,1.000000
0.058174,0.165037,1.000000
0.058308,0.165239,1.000000
0.058472,0.165441,1.000000
0.058703,0.165644,1.000000
0.058724,0.165848,1.000000
0.058746,0.166052,1.000000
0.058822,0.166256,1.000000
0.058846,0.166461,1.000000
0.058881,0.166667,1.000000
0.059300,0.166873,1.000000
0.059663,0.167079,1.000000
0.059721,0.167286,1.000000
0.059757,0.167494,1.000000
0.060103,0.167702,1.000000
0.060475,0.167910,1.000000
0.060552,0.168120,1.000000
0.060630,0.168329,1.000000
0.060910,0.168539,1.000000
0.060951,0.168750,1.000000
0.061223,0.168961,1.000000
0.061403,0.169173,1.000000
0.061551,0.169385,1.000000
0.061576,0.169598,1.000000
0.061792,0.169811,1.000000
0.061892,0.170025,1.000000
0.062490,0.170240,1.000000
0.063097,0.170455,1.000000
0.063225,0.170670,1.000000
0.063280,0.170886,1.000000
0.063311,0.171103,1.000000
0.063618,0.171320,1.000000
0.063991,0.171537,1.000000
0.064012,0.171756,1.000000
0.064046,0.171975,1.000000
0.064198,0.172194,1.000000
0.064238,0.172414,1.000000
0.064373,0.172634,1.000000
0.064587,0.172855,1.000000
0.064837,0.173077,1.000000
0.064953,0.173299,1.000000
0.064993,0.173522,1.000000
0.065207,0.173745,1.000000
0.066137,0.173969,1.000000
0.066188,0.174194,1.000000
