iteration,train_loss,val_loss
1,1.274361,0.638147
2,1.186388,0.594070
3,1.106579,0.554087
4,1.033844,0.517651
5,0.967296,0.484317
6,0.906199,0.453715
7,0.849939,0.425537
8,0.797997,0.399524
9,0.749928,0.375451
10,0.705351,0.353127
11,0.663933,0.332387
12,0.625387,0.313085
13,0.589457,0.295094
14,0.555919,0.278301
15,0.524573,0.262606
16,0.495244,0.247921
17,0.467771,0.234165
18,0.442011,0.221268
19,0.417836,0.209165
20,0.395129,0.197797
21,0.373785,0.187111
22,0.353707,0.177059
23,0.334808,0.167597
24,0.317008,0.158686
25,0.300232,0.150288
26,0.284413,0.142369
27,0.269490,0.134898
28,0.255405,0.127847
29,0.242105,0.121189
30,0.229541,0.114899
31,0.217667,0.108955
32,0.206443,0.103336
33,0.195828,0.098023
34,0.185787,0.092996
35,0.176285,0.088240
36,0.167291,0.083738
37,0.158776,0.079475
38,0.150712,0.075439
39,0.143073,0.071615
40,0.135836,0.067992
41,0.128978,0.064559
42,0.122477,0.061305
43,0.116314,0.058220
44,0.110471,0.055296
45,0.104930,0.052522
46,0.099674,0.049891
47,0.094687,0.047395
48,0.089957,0.045027
49,0.085468,0.042780
50,0.081208,0.040648
51,0.077165,0.038624
52,0.073327,0.036703
53,0.069683,0.034879
54,0.066224,0.033148
55,0.062940,0.031504
56,0.059821,0.029942
57,0.056858,0.028460
58,0.054045,0.027051
59,0.051373,0.025714
60,0.048834,0.024443
61,0.046423,0.023236
62,0.044132,0.022090
63,0.041955,0.021000
64,0.039887,0.019965
65,0.037922,0.018981
66,0.036055,0.018047
67,0.034280,0.017158
68,0.032594,0.016314
69,0.030991,0.015512
70,0.029468,0.014749
71,0.028020,0.014025
72,0.026643,0.013336
73,0.025335,0.012681
74,0.024092,0.012059
75,0.022909,0.011467
76,0.021786,0.010904
77,0.020717,0.010370
78,0.019702,0.009861
79,0.018736,0.009378
80,0.017818,0.008918
81,0.016945,0.008481
82,0.016115,0.008066
83,0.015326,0.007671
84,0.014575,0.007295
85,0.013862,0.006938
86,0.013183,0.006599
87,0.012538,0.006276
88,0.011925,0.005969
89,0.011342,0.005677
90,0.010787,0.005399
91,0.010259,0.005135
92,0.009758,0.004884
93,0.009281,0.004645
94,0.008827,0.004418
95,0.008395,0.004202
96,0.007985,0.003997
97,0.007595,0.003801
98,0.007224,0.003616
99,0.006871,0.003439
100,0.006535,0.003271
101,0.006216,0.003111
102,0.005912,0.002959
103,0.005623,0.002815
104,0.005349,0.002677
105,0.005088,0.002546
106,0.004839,0.002422
107,0.004603,0.002304
108,0.004378,0.002191
109,0.004164,0.002084
110,0.003961,0.001983
111,0.003768,0.001886
112,0.003584,0.001794
113,0.003409,0.001706
114,0.003242,0.001623
115,0.003084,0.001544
116,0.002934,0.001468
117,0.002790,0.001397
118,0.002654,0.001329
119,0.002525,0.001264
120,0.002402,0.001202
121,0.002284,0.001143
122,0.002173,0.001088
123,0.002067,0.001034
124,0.001966,0.000984
125,0.001870,0.000936
126,0.001779,0.000890
127,0.001692,0.000847
128,0.001609,0.000806
129,0.001531,0.000766
130,0.001456,0.000729
131,0.001385,0.000693
132,0.001318,0.000659
133,0.001253,0.000627
134,0.001192,0.000597
135,0.001134,0.000568
136,0.001079,0.000540
137,0.001026,0.000514
138,0.000976,0.000489
139,0.000928,0.000465
140,0.000883,0.000442
141,0.000840,0.000420
142,0.000799,0.000400
143,0.000760,0.000380
144,0.000723,0.000362
145,0.000688,0.000344
146,0.000654,0.000327
147,0.000622,0.000311
148,0.000592,0.000296
149,0.000563,0.000282
150,0.000536,0.000268
