iteration,train_loss,val_loss
1,1.305044,0.671289
2,1.231549,0.652442
3,1.164797,0.636206
4,1.103955,0.622254
5,1.048329,0.610311
6,0.997335,0.600146
7,0.950477,0.591565
8,0.907328,0.584399
9,0.867522,0.578502
10,0.830422,0.566011
11,0.795857,0.562165
12,0.763464,0.551694
13,0.733264,0.549538
14,0.704804,0.540744
15,0.678280,0.539993
16,0.653141,0.532608
17,0.629740,0.533034
18,0.607432,0.526839
19,0.586705,0.528257
20,0.566827,0.523075
21,0.548404,0.525334
22,0.530626,0.521017
23,0.514200,0.523990
24,0.498248,0.520418
25,0.483560,0.523999
26,0.469204,0.521067
27,0.456035,0.525168
28,0.443081,0.522791
29,0.431245,0.527335
30,0.419526,0.525438
31,0.408864,0.530361
32,0.398238,0.528880
33,0.388612,0.534128
34,0.378955,0.533009
35,0.370247,0.538534
36,0.361454,0.537729
37,0.353559,0.543490
38,0.345538,0.542959
39,0.338366,0.548920
40,0.331035,0.548627
41,0.324507,0.554759
42,0.317796,0.554672
43,0.311844,0.560948
44,0.305690,0.561042
45,0.299981,0.561215
46,0.294663,0.567666
47,0.289416,0.567984
48,0.285313,0.578174
49,0.281544,0.588240
50,0.276833,0.594771
51,0.272162,0.595049
52,0.268772,0.605105
53,0.264521,0.611709
54,0.260279,0.612026
55,0.257220,0.622068
56,0.253380,0.628731
57,0.249519,0.629077
58,0.245929,0.629463
59,0.243197,0.639499
60,0.239797,0.646237
61,0.236517,0.646642
62,0.234033,0.656663
63,0.230955,0.663433
64,0.227953,0.663850
65,0.225688,0.673856
66,0.223598,0.683727
67,0.220843,0.690514
68,0.218110,0.690877
69,0.216196,0.700737
70,0.213696,0.707540
71,0.211184,0.707914
72,0.208845,0.708307
73,0.207099,0.718172
74,0.204875,0.725000
75,0.202719,0.725398
76,0.201111,0.735256
77,0.199089,0.742086
78,0.197099,0.742486
79,0.195616,0.752339
80,0.194244,0.762056
81,0.192425,0.768877
82,0.190591,0.769227
83,0.188882,0.769587
84,0.187614,0.779325
85,0.185992,0.786150
86,0.184408,0.786511
87,0.183231,0.796252
88,0.182141,0.805859
89,0.180679,0.812668
90,0.179209,0.812985
91,0.177839,0.813309
92,0.176823,0.822951
93,0.175516,0.829753
94,0.174241,0.830077
95,0.173294,0.839731
96,0.172415,0.849253
97,0.171235,0.856033
98,0.170046,0.856319
99,0.169224,0.865859
100,0.168147,0.872623
101,0.167039,0.872909
102,0.166005,0.873198
103,0.165233,0.882784
104,0.164516,0.892240
105,0.163562,0.898983
106,0.162593,0.899240
107,0.161920,0.908720
108,0.161047,0.915444
109,0.160142,0.915701
110,0.159299,0.915958
111,0.158663,0.925495
112,0.158073,0.934902
113,0.157298,0.941604
114,0.156504,0.941833
115,0.155948,0.951271
116,0.155238,0.957952
117,0.154495,0.958181
118,0.153960,0.967621
119,0.153263,0.967825
120,0.152773,0.977201
121,0.152142,0.983858
122,0.151489,0.984063
123,0.151017,0.993452
124,0.150404,0.993635
125,0.149970,1.002958
126,0.149408,1.009590
127,0.148832,1.009775
128,0.148422,1.019138
129,0.147907,1.025750
130,0.147366,1.025934
131,0.146970,1.035319
132,0.146462,1.035484
133,0.146098,1.044800
134,0.145638,1.051389
135,0.145161,1.051554
136,0.144815,1.060912
137,0.144494,1.070147
138,0.144076,1.076713
139,0.143623,1.076862
140,0.143200,1.077009
141,0.142892,1.086331
142,0.142606,1.095531
143,0.142232,1.102075
144,0.141831,1.102208
145,0.141456,1.102340
146,0.141180,1.111632
147,0.140843,1.118158
148,0.140490,1.118291
149,0.140228,1.127630
150,0.139985,1.136846
