model,curve,x,y,threshold
rules_only,roc,0.000000,0.000000,1.000000
rules_only,roc,0.000000,0.007407,0.700000
rules_only,roc,0.000000,0.022222,0.650000
rules_only,roc,0.000000,0.029630,0.551000
rules_only,roc,0.000000,0.059259,0.550000
rules_only,roc,0.000000,0.066667,0.504000
rules_only,roc,0.000000,0.125926,0.500000
rules_only,roc,0.000000,0.222222,0.450000
rules_only,roc,0.002614,0.222222,0.391000
rules_only,roc,0.002614,0.229630,0.358000
rules_only,roc,0.002614,0.318519,0.350000
rules_only,roc,0.003922,0.318519,0.330000
rules_only,roc,0.006536,0.318519,0.327000
rules_only,roc,0.006536,0.325926,0.326000
rules_only,roc,0.014379,0.325926,0.307000
rules_only,roc,0.016993,0.325926,0.306000
rules_only,roc,0.019608,0.325926,0.303000
rules_only,roc,0.022222,0.325926,0.302000
rules_only,roc,0.022222,0.422222,0.300000
rules_only,roc,0.022222,0.429630,0.299000
rules_only,roc,0.023529,0.429630,0.294000
rules_only,roc,0.026144,0.429630,0.293000
rules_only,roc,0.027451,0.437037,0.292000
rules_only,roc,0.033987,0.437037,0.278000
rules_only,roc,0.033987,0.444444,0.276000
rules_only,roc,0.039216,0.444444,0.267000
rules_only,roc,0.039216,0.451852,0.262000
rules_only,roc,0.041830,0.451852,0.261000
rules_only,roc,0.043137,0.451852,0.260000
rules_only,roc,0.044444,0.466667,0.258000
rules_only,roc,0.050980,0.466667,0.245000
rules_only,roc,0.053595,0.466667,0.243000
rules_only,roc,0.054902,0.466667,0.241000
rules_only,roc,0.054902,0.474074,0.230000
rules_only,roc,0.056209,0.481481,0.229000
rules_only,roc,0.056209,0.518519,0.205000
rules_only,roc,0.058824,0.518519,0.202000
rules_only,roc,0.069281,0.585185,0.200000
rules_only,roc,0.071895,0.585185,0.181000
rules_only,roc,0.075817,0.585185,0.171000
rules_only,roc,0.075817,0.592593,0.170000
rules_only,roc,0.077124,0.592593,0.165000
rules_only,roc,0.077124,0.607407,0.162000
rules_only,roc,0.078431,0.614815,0.159000
rules_only,roc,0.078431,0.622222,0.155000
rules_only,roc,0.079739,0.622222,0.151000
rules_only,roc,0.113725,0.703704,0.150000
rules_only,roc,0.113725,0.718519,0.142000
rules_only,roc,0.120261,0.718519,0.118000
rules_only,roc,0.121569,0.725926,0.114000
rules_only,roc,0.125490,0.725926,0.106000
rules_only,roc,0.125490,0.733333,0.103000
rules_only,roc,0.133333,0.733333,0.081000
rules_only,roc,0.135948,0.733333,0.078000
rules_only,roc,0.135948,0.740741,0.075000
rules_only,roc,0.137255,0.740741,0.073000
rules_only,roc,0.137255,0.748148,0.072000
rules_only,roc,0.141176,0.748148,0.060000
rules_only,roc,0.141176,0.755556,0.058000
rules_only,roc,0.142484,0.762963,0.056000
rules_only,roc,0.142484,0.777778,0.048000
rules_only,roc,0.145098,0.777778,0.043000
rules_only,roc,0.145098,0.785185,0.037000
rules_only,roc,0.146405,0.792593,0.034000
rules_only,roc,0.146405,0.800000,0.030000
rules_only,roc,0.150327,0.800000,0.021000
rules_only,roc,0.150327,0.807407,0.020000
rules_only,roc,0.152941,0.807407,0.016000
rules_only,roc,0.152941,0.814815,0.013000
rules_only,roc,0.154248,0.822222,0.012000
rules_only,roc,0.155556,0.822222,0.009000
rules_only,roc,0.158170,0.822222,0.007000
rules_only,roc,0.158170,0.837037,0.002000
rules_only,roc,1.000000,1.000000,0.000000
rules_only,pr,1.000000,0.150000,0.000000
rules_only,pr,0.837037,0.482906,0.002000
